chunk_index,start_sample,stage,stage_ms,chunk_total_ms
28,12768000,roformer_layer_pairs_8_9,1432.349084,11166.305792
28,12768000,roformer_layer_pairs_10_11,1413.628625,11166.305792
28,12768000,tail_pipeline,2092.931083,11166.305792
29,13224000,first_2_segments,1643.787792,10951.441417
29,13224000,roformer_layer_pairs_2_3,1570.897666,10951.441417
29,13224000,roformer_layer_pairs_4_5,1437.690625,10951.441417
29,13224000,roformer_layer_pairs_6_7,1424.173292,10951.441417
29,13224000,roformer_layer_pairs_8_9,1420.273125,10951.441417
29,13224000,roformer_layer_pairs_10_11,1419.54175,10951.441417
29,13224000,tail_pipeline,2035.077167,10951.441417
30,13262080,first_2_segments,2358.809292,12147.119791000001
30,13262080,roformer_layer_pairs_2_3,1503.475875,12147.119791000001
30,13262080,roformer_layer_pairs_4_5,1465.025958,12147.119791000001
30,13262080,roformer_layer_pairs_6_7,1439.125917,12147.119791000001
30,13262080,roformer_layer_pairs_8_9,1418.939916,12147.119791000001
30,13262080,roformer_layer_pairs_10_11,1439.556917,12147.119791000001
30,13262080,tail_pipeline,2522.185916,12147.119791000001
